country,avg_annual_growth
Hong Kong,1.2960107263931155
Spain,1.1705274057976933
Philippines,1.0768435141677126
Italy,1.0520684649570933
Indonesia,1.0129224490576345
Đan mạch,1.0007531234917773
New Zealand,0.9904545329871134
China,0.9808200426058974
Netherlands,0.8989553382680038
Belgium,0.8970541834658512
Norway,0.8671686496413168
Thụy sĩ,0.8589525060202786
Canada,0.8353416217198593
Finland,0.8202689715386718
Germany,0.8042713274672827
Sweden,0.6473324194402482
Laos,0.5898715655624159
Russia,0.5623703338063113
Singapore,0.4607821069613008
Vương quốc Anh,0.442098867378571
Taiwan,0.43928359934459255
South Korea,0.34809222328882566
Japan,0.21297691337756366
Malaysia,0.20652392539562547
Cambodia,0.20205600318516354
Thailand,0.19188889219729002
France,0.17730925119520488
Australia,0.1739958765465012
India,0.16684898678337637
USA,0.16294910013917033
Poland,0.09656876390310659
Czech Republic,
